Order,Missile_R,Launcher_R,Target_R
1,10908,108,50B
2,14607,107,20E DE DA-P
3,1EC06,106,50B
4,21D09,109,50B
5,30409,109,104
6,30C06,106,50B DE DA-P
7,38808,108,103
8,5E08,108,10D
9,870A,10A,50B
10,CD0C,10C,10D
11,CE0A,10A,10D
