Order,Missile_B,Launcher_B,Target_B
1,10E0D,10D,10F
2,17606,106,108
3,18C05,105,108
4,1C505,105,10F
5,1D006,106,108
6,1DF07,307,10F DE DA-P
7,1E005,105,109 DE DA-P
8,2306,106,108
9,2B406,106,108
10,50B,10B,10E
11,630D,10D,109
12,7105,105,109
13,760B,10B,10F
14,AF06,106,108
15,FA03,103,10A
