Order,Missile_R,Launcher_R,Target_R
1,10D0F,10F,10D DE DA-P
2,1300C,10C,307
3,1320E,10E,103
4,17E0E,10E,103 DE DA-P
5,1C40F,10F,106
6,1C70E,10E,103 LOST
7,1C70F,10F,106
8,1DE09,109,105 DE DA-P
9,1DE0A,10A,105 LOST
10,1DE0C,10C,307
11,1E00F,10F,307 DA-P
12,1E30F,10F,307 DA-P
13,1F70F,10F,307 DE DA-P
14,20609,109,105 LOST
15,2308,108,106
16,2B10C,10C,106
17,2B908,108,106
18,2D90A,10A,106 LOST
19,2E40A,10A,106 LOST
20,2FA08,108,106 DE DA-P
21,2FB08,108,106 LOST
22,2FC0A,10A,202
23,2FD0E,10E,202
24,3230E,10E,202
25,3240E,10E,202
26,50E,10E,10B
27,610E,10E,103
28,710A,10A,103
29,710F,10F,10B DE DA-P
30,8209,109,105
