UnixTime,104,107,10A,10B,10E,110,202
127,静止,平飞,平飞,平飞,静止,静止,平飞
128,静止,平飞,平飞,平飞,静止,静止,平飞
129,静止,平飞,平飞,平飞,静止,静止,平飞
130,静止,平飞,平飞,平飞,静止,静止,平飞
131,静止,平飞,平飞,平飞,静止,静止,平飞
132,静止,平飞,平飞,平飞,静止,静止,平飞
133,静止,平飞,平飞,平飞,静止,静止,平飞
134,静止,平飞,平飞,平飞,静止,静止,平飞
135,静止,平飞,平飞,平飞,静止,静止,平飞
136,静止,平飞,平飞,平飞,静止,静止,平飞
137,静止,平飞,平飞,平飞,静止,静止,平飞
138,静止,平飞,平飞,平飞,静止,静止,平飞
139,静止,平飞,平飞,平飞,静止,静止,平飞
140,静止,平飞,平飞,平飞,静止,静止,平飞
141,静止,平飞,平飞,平飞,静止,静止,平飞
142,静止,平飞,平飞,平飞,静止,静止,平飞
143,静止,平飞,平飞,平飞,静止,静止,平飞
144,静止,平飞,平飞,平飞,静止,静止,平飞
145,静止,平飞,平飞,平飞,静止,静止,平飞
146,静止,平飞,平飞,平飞,静止,静止,平飞
147,静止,平飞,平飞,平飞,静止,静止,平飞
148,静止,平飞,平飞,平飞,静止,静止,平飞
149,静止,平飞,平飞,平飞,静止,静止,平飞
150,静止,平飞,平飞,平飞,静止,静止,平飞
151,静止,平飞,平飞,平飞,静止,静止,平飞
152,静止,平飞,平飞,平飞,静止,静止,平飞
153,静止,平飞,平飞,平飞,静止,静止,平飞
154,静止,平飞,平飞,平飞,静止,静止,平飞
155,静止,平飞,平飞,平飞,静止,静止,平飞
156,静止,平飞,平飞,平飞,静止,静止,平飞
157,静止,平飞,平飞,平飞,静止,静止,平飞
158,静止,平飞,平飞,平飞,静止,静止,平飞
159,静止,平飞,平飞,平飞,静止,静止,平飞
160,静止,平飞,平飞,平飞,静止,静止,平飞
161,静止,平飞,平飞,平飞,静止,静止,平飞
162,静止,平飞,平飞,平飞,静止,静止,平飞
163,静止,平飞,平飞,平飞,静止,静止,平飞
164,静止,平飞,平飞,平飞,静止,静止,平飞
165,静止,平飞,平飞,平飞,静止,静止,平飞
166,静止,平飞,平飞,平飞,静止,静止,平飞
167,静止,平飞,平飞,平飞,静止,静止,平飞
168,静止,平飞,平飞,平飞,静止,静止,平飞
169,静止,平飞,平飞,平飞,静止,静止,平飞
170,静止,平飞,平飞,平飞,静止,静止,平飞
171,静止,平飞,平飞,平飞,静止,静止,平飞
172,静止,平飞,平飞,平飞,静止,静止,平飞
173,静止,平飞,平飞,平飞,静止,静止,平飞
174,静止,平飞,平飞,平飞,静止,静止,平飞
