ISOTime,UnixTime,Id,Longitude,Latitude,Altitude,Roll,Pitch,Yaw,U,V,Heading,Type,Color,Coalition,Name,Group,Country,Pilot,TAS,CAS,M,ASL,AGL,GS,VS,AOA,AOS,RRT,TRT,TRD,G,LatG,LonG,Ek,Ep,Em,FFW,FFV,RelativeTime,Elev,GroundDistance,AirDistance
2018-07-19T09:06:14Z,1531991174,45D0F,40.7972962,43.6135208,5024.91,-29,21.3,148.4,529760.19,-139535.91,142.9,Weapon+Missile,Blue,Enemies,R-73,,cn,,418.524535764791,344.556762695312,1.30555108057729,5024.90673828125,3375.69323730469,389.814709589697,152.33935546875,0.0637808113116466,NaN,2.3076955243047,0.00989117029631303,5000,0.929717719554901,0.929717719554901,0.929717719554901,8758.13935185671,4927.75016649658,13685.8895183533,,,11.5199999809265,1649.21350097656,5802.38264476071,6232.09407080296
2018-07-19T09:06:15Z,1531991175,45D0F,40.799568,43.6108444,5162.05,-26.9,21.3,148.4,529971.62,-139815.95,142.9,Weapon+Missile,Blue,Enemies,R-73,,cn,,376.75105933798,308.044555664062,1.17729435680171,5162.0537109375,3676.94128417969,350.901793388856,137.14697265625,0.0614724614785643,NaN,2.1076666042717,0.00989117029631303,5000,0.926987588405609,0.926987588405609,0.926987588405609,7097.06803561449,5062.24540243652,12159.313438051,,,12.5199999809265,1485.11242675781,6152.08289021654,6607.98627599929
2018-07-19T09:06:16Z,1531991176,45D0F,40.8016445,43.6083978,5287.42,-24.9,21.3,148.4,530165,-140071.94,142.9,Weapon+Missile,Blue,Enemies,R-73,,cn,,344.439512416863,278.569885253906,1.07804880166807,5287.419921875,3876.08422851562,320.814418112934,125.3662109375,0.058401388407907,NaN,1.93845549777381,0.00989117029631303,5000,0.930982649326324,0.930982649326324,0.930982649326324,5931.92888569832,5185.18765768555,11117.1165433839,,,13.5199999809265,1411.33569335938,6471.75904845186,6951.60965536291
2018-07-19T09:06:17Z,1531991177,45D0F,40.8035389,43.6061655,5401.81,-23.1,21.3,148.4,530341.38,-140305.5,142.9,Weapon+Missile,Blue,Enemies,R-73,,cn,,314.235960031833,250.878356933594,0.984957089654152,5401.80810546875,3977.71264648438,292.676582649261,114.38818359375,0.0705696756286251,NaN,1.73846414378125,0.00989117029631303,5000,0.929203569889069,0.929203569889069,0.929203569889069,4937.21192885637,5297.36414574951,10234.5760746059,,,14.5199999809265,1424.09545898438,6763.42816625207,7265.13503276355
2018-07-19T09:06:18Z,1531991178,45D0F,40.8052935,43.6040979,5507.76,-21.3,21.3,148.4,530504.75,-140521.84,142.9,Weapon+Missile,Blue,Enemies,R-73,,cn,,291.069498016916,229.777801513672,0.913584768421553,5507.75830078125,4026.32873535156,271.101473232925,105.9501953125,0.057521984954752,NaN,1.73846414378125,0.00989117029631303,5000,0.930136203765869,0.930136203765869,0.930136203765869,4236.07263379097,5401.26579403564,9637.33842782661,,,15.5199999809265,1481.42956542969,7033.56899890001,7555.52509729346
2018-07-19T09:06:19Z,1531991179,45D0F,40.8069346,43.602164,5606.85,-19.8,21.3,148.4,530657.56,-140724.19,142.9,Weapon+Missile,Blue,Enemies,R-73,,cn,,272.240166895954,212.813842773438,0.855575470674791,5606.8544921875,4014.431640625,253.563903819752,99.09619140625,0.0656808743048262,NaN,1.5384249784645,0.00989117029631303,5000,0.93100643157959,0.93100643157959,0.93100643157959,3705.73542357683,5498.44596058106,9204.18138415789,,,16.5199999809265,1592.4228515625,7286.24897382476,7827.14714009884
2018-07-19T09:06:20Z,1531991180,45D0F,40.8085037,43.6003146,5701.62,-18.2,21.3,148.4,530803.69,-140917.69,142.9,Weapon+Missile,Blue,Enemies,R-73,,cn,,260.337054318886,201.931625366211,0.819168412618554,5701.62060546875,3996.76672363281,242.476319720091,94.76611328125,0.0705896775367519,NaN,1.53846595959952,0.00989117029631303,5000,0.929054498672485,0.929054498672485,0.929054498672485,3388.76909257174,5591.37977106201,8980.14886363375,,,17.5199999809265,1704.85388183594,7527.88037678131,8086.89685667194
2018-07-19T09:06:21Z,1531991181,45D0F,40.8099919,43.5985606,5791.5,-16.9,21.3,148.4,530942.31,-141101.22,142.9,Weapon+Missile,Blue,Enemies,R-73,,cn,,246.937316354265,190.017623901367,0.777909029686762,5791.4951171875,3990.12329101562,230.001326847396,89.87451171875,0.0570469148190441,NaN,1.33846094522862,0.00989117029631303,5000,0.932533144950867,0.932533144950867,0.932533144950867,3048.90191041231,5679.51655909668,8728.41846950899,,,18.5199999809265,1801.37182617188,7757.04625227159,8333.24843925621
2018-07-19T09:06:22Z,1531991182,45D0F,40.8114202,43.5968771,5877.76,-15.7,21.3,148.4,531075.31,-141277.36,142.9,Weapon+Missile,Blue,Enemies,R-73,,cn,,236.971914237305,181.095153808594,0.747351064081957,5877.75732421875,3979.16149902344,220.713660146785,86.26220703125,0.0645944953548313,NaN,1.19999252018496,0.00989117029631303,5000,0.931719958782196,0.931719958782196,0.931719958782196,2807.78440686464,5764.11088635498,8571.89529321962,,,19.5199999809265,1898.59582519531,7976.99703157518,8569.69730426189
2018-07-19T09:06:23Z,1531991183,45D0F,40.8127954,43.5952559,5960.83,-14.5,21.3,148.4,531203.38,-141446.97,142.9,Weapon+Missile,Blue,Enemies,R-73,,cn,,228.184181776451,173.257949829102,0.720413868217086,5960.82763671875,3995.04125976562,212.526101912543,83.0703125,0.0578302308017102,NaN,1.16921568778488,0.00989117029631303,5000,0.928118288516998,0.928118288516998,0.928118288516998,2603.40104064941,5845.57503436279,8448.97607501221,,,20.5199999809265,1965.78637695312,8188.80229406711,8797.3932702483
