UnixTime,102,106,107,108,109,10A,10C
251,平飞,平飞,平飞,平飞,静止,平飞,静止
252,平飞,平飞,平飞,平飞,静止,平飞,静止
253,平飞,平飞,平飞,平飞,静止,平飞,静止
254,平飞,平飞,平飞,平飞,静止,平飞,静止
255,平飞,平飞,平飞,平飞,静止,平飞,静止
256,平飞,平飞,平飞,平飞,下降飞行,平飞,静止
257,平飞,平飞,平飞,平飞,平飞,平飞,静止
258,平飞,平飞,平飞,平飞,平飞,平飞,静止
259,平飞,平飞,平飞,平飞,平飞,平飞,静止
260,平飞,平飞,平飞,平飞,平飞,平飞,静止
261,平飞,平飞,平飞,平飞,平飞,平飞,静止
262,平飞,平飞,平飞,平飞,平飞,平飞,静止
263,平飞,平飞,平飞,平飞,平飞,平飞,静止
264,平飞,平飞,平飞,平飞,平飞,平飞,静止
265,平飞,平飞,平飞,平飞,平飞,平飞,上升飞行
266,平飞,平飞,平飞,平飞,平飞,平飞,平飞
267,平飞,平飞,平飞,平飞,平飞,平飞,平飞
268,平飞,平飞,平飞,平飞,平飞,平飞,平飞
269,平飞,平飞,平飞,平飞,平飞,平飞,平飞
270,平飞,平飞,平飞,平飞,平飞,平飞,平飞
271,平飞,平飞,平飞,平飞,平飞,平飞,平飞
272,平飞,平飞,平飞,平飞,平飞,平飞,平飞
273,平飞,平飞,平飞,平飞,平飞,平飞,平飞
274,平飞,平飞,平飞,平飞,平飞,平飞,平飞
275,平飞,平飞,平飞,平飞,平飞,平飞,平飞
276,平飞,平飞,平飞,平飞,平飞,平飞,平飞
277,平飞,平飞,平飞,平飞,平飞,平飞,平飞
278,平飞,平飞,平飞,平飞,平飞,平飞,平飞
279,平飞,平飞,平飞,平飞,平飞,平飞,平飞
280,平飞,平飞,平飞,平飞,平飞,平飞,平飞
281,平飞,平飞,平飞,平飞,平飞,平飞,平飞
282,平飞,平飞,平飞,平飞,平飞,平飞,平飞
283,平飞,平飞,平飞,平飞,平飞,平飞,平飞
284,平飞,平飞,平飞,平飞,平飞,平飞,平飞
285,平飞,平飞,平飞,平飞,平飞,平飞,平飞
286,平飞,平飞,平飞,平飞,平飞,平飞,平飞
287,平飞,平飞,平飞,平飞,平飞,平飞,平飞
288,平飞,平飞,平飞,平飞,平飞,平飞,平飞
289,平飞,平飞,平飞,平飞,平飞,平飞,平飞
290,平飞,平飞,平飞,平飞,平飞,平飞,平飞
291,平飞,平飞,平飞,平飞,平飞,平飞,平飞
292,平飞,平飞,平飞,平飞,平飞,平飞,平飞
293,平飞,平飞,平飞,平飞,平飞,平飞,平飞
294,平飞,平飞,平飞,平飞,平飞,平飞,平飞
295,平飞,平飞,平飞,平飞,平飞,平飞,平飞
296,平飞,平飞,平飞,平飞,平飞,平飞,平飞
297,平飞,平飞,平飞,平飞,平飞,平飞,平飞
298,平飞,平飞,平飞,平飞,平飞,平飞,平飞
299,平飞,平飞,平飞,平飞,平飞,平飞,平飞
300,平飞,平飞,平飞,平飞,平飞,平飞,平飞
301,平飞,平飞,平飞,平飞,平飞,平飞,平飞
302,平飞,平飞,平飞,平飞,平飞,平飞,平飞
303,平飞,平飞,平飞,平飞,平飞,平飞,平飞
304,平飞,平飞,平飞,平飞,平飞,平飞,平飞
305,平飞,平飞,平飞,平飞,平飞,平飞,平飞
306,平飞,平飞,平飞,平飞,平飞,平飞,平飞
307,平飞,平飞,平飞,平飞,平飞,平飞,平飞
308,平飞,平飞,平飞,平飞,平飞,平飞,平飞
309,平飞,平飞,平飞,平飞,平飞,平飞,平飞
310,平飞,平飞,平飞,平飞,平飞,平飞,平飞
311,平飞,平飞,平飞,平飞,平飞,平飞,平飞
312,平飞,平飞,平飞,平飞,平飞,平飞,平飞
313,平飞,平飞,平飞,平飞,平飞,平飞,平飞
314,平飞,平飞,平飞,平飞,平飞,平飞,平飞
315,平飞,平飞,平飞,平飞,平飞,平飞,平飞
316,平飞,平飞,平飞,平飞,平飞,平飞,平飞
317,平飞,平飞,平飞,平飞,平飞,平飞,平飞
318,平飞,平飞,平飞,平飞,平飞,平飞,平飞
319,平飞,平飞,平飞,平飞,平飞,平飞,平飞
320,平飞,平飞,平飞,平飞,平飞,平飞,平飞
321,平飞,平飞,平飞,平飞,平飞,平飞,平飞
322,平飞,平飞,平飞,平飞,平飞,平飞,平飞
323,平飞,平飞,平飞,平飞,平飞,平飞,平飞
324,平飞,平飞,平飞,平飞,平飞,平飞,平飞
325,平飞,平飞,平飞,平飞,平飞,平飞,平飞
326,平飞,平飞,平飞,平飞,平飞,平飞,平飞
327,平飞,平飞,平飞,平飞,平飞,平飞,平飞
328,平飞,平飞,平飞,平飞,平飞,平飞,平飞
329,平飞,平飞,平飞,平飞,平飞,平飞,平飞
330,平飞,平飞,平飞,平飞,平飞,平飞,平飞
331,平飞,平飞,平飞,平飞,平飞,平飞,平飞
332,平飞,平飞,平飞,平飞,平飞,平飞,平飞
333,平飞,平飞,平飞,平飞,平飞,平飞,平飞
334,平飞,平飞,平飞,平飞,平飞,平飞,平飞
335,平飞,平飞,平飞,平飞,平飞,平飞,平飞
336,平飞,平飞,平飞,平飞,平飞,平飞,平飞
337,平飞,平飞,平飞,平飞,平飞,平飞,平飞
338,平飞,平飞,平飞,平飞,平飞,平飞,平飞
339,平飞,平飞,平飞,平飞,平飞,平飞,平飞
340,平飞,平飞,平飞,平飞,平飞,平飞,平飞
341,平飞,平飞,平飞,平飞,平飞,平飞,平飞
342,平飞,平飞,平飞,平飞,平飞,平飞,平飞
343,平飞,平飞,平飞,平飞,平飞,平飞,平飞
344,平飞,平飞,平飞,平飞,平飞,平飞,平飞
345,平飞,平飞,平飞,平飞,平飞,平飞,平飞
346,平飞,平飞,平飞,平飞,平飞,平飞,平飞
347,平飞,平飞,平飞,平飞,平飞,平飞,平飞
348,平飞,平飞,平飞,平飞,平飞,平飞,平飞
349,平飞,平飞,平飞,平飞,平飞,平飞,平飞
350,平飞,平飞,平飞,平飞,平飞,平飞,平飞
351,平飞,平飞,平飞,平飞,平飞,平飞,平飞
352,平飞,平飞,平飞,平飞,平飞,平飞,平飞
353,平飞,平飞,平飞,平飞,平飞,平飞,平飞
354,平飞,平飞,平飞,平飞,平飞,平飞,平飞
355,平飞,平飞,平飞,平飞,平飞,平飞,平飞
356,平飞,平飞,平飞,平飞,平飞,平飞,平飞
357,平飞,平飞,平飞,平飞,平飞,平飞,平飞
358,平飞,平飞,平飞,平飞,平飞,平飞,平飞
359,平飞,平飞,平飞,平飞,平飞,平飞,平飞
360,平飞,平飞,平飞,平飞,平飞,平飞,平飞
361,平飞,平飞,平飞,平飞,平飞,平飞,平飞
362,平飞,平飞,平飞,平飞,平飞,平飞,平飞
363,平飞,平飞,平飞,平飞,平飞,平飞,平飞
364,平飞,平飞,平飞,平飞,平飞,平飞,平飞
365,平飞,平飞,平飞,平飞,平飞,平飞,平飞
366,平飞,平飞,平飞,平飞,平飞,平飞,平飞
367,平飞,平飞,平飞,平飞,平飞,平飞,平飞
368,平飞,平飞,平飞,平飞,平飞,平飞,平飞
369,平飞,平飞,平飞,平飞,平飞,平飞,平飞
370,平飞,平飞,平飞,平飞,平飞,平飞,平飞
371,平飞,平飞,平飞,平飞,平飞,平飞,平飞
372,平飞,平飞,平飞,平飞,平飞,平飞,平飞
373,平飞,平飞,平飞,平飞,平飞,平飞,平飞
