Order,Missile_B,Launcher_B,Target_B
1,10A06,106,207
2,1240B,10B,103
3,1CC09,109,10C
4,1D106,106,10D
5,2130B,10B,10C DA-P
6,21408,108,105
7,2209,109,207
8,2510B,10B,10C DE DA-P
9,2540B,10B,10C DE DA-P
10,2600B,10B,10C DE DA-P LOST
11,27F0A,10A,10D DE DA-P
12,28708,108,207 DE DA-P
13,29F0A,10A,105
14,2AD08,108,207
15,2AF0A,10A,207
16,2BF08,108,207
17,33B06,106,105 LOST
18,33C06,106,105 DE DA-P
19,34804,104,105 LOST
20,6504,104,103
21,A0A,10A,207
22,E108,108,10C
23,F50A,10A,207
24,F708,108,105
