Order,Missile_R,Launcher_R,Target_R
1,1190D,10D,104
2,14505,105,108
3,18C05,105,108
4,19903,MAY NOT AIR,104
5,19B05,105,10B
6,1A003,MAY NOT AIR,109
7,1A10C,10C,104
8,1A10D,10D,104
9,1CE0C,10C,10A
10,1D10D,10D,104
11,1D40C,10C,104
12,1FD0C,10C,104
13,2110C,10C,104
14,21505,105,108
15,21507,207,104
16,2307,207,106
17,2820D,10D,106
18,29205,105,108 DE DA-P
19,2A00D,10D,10A DE DA-P
20,2B505,105,108 LOST
21,2C907,207,108 LOST
22,C90D,10D,104
23,CF0C,10C,10B
24,E20C,10C,108
