UnixTime,105,107,108,10A,10B,10F,202
128,平飞,平飞,静止,平飞,静止,静止,平飞
129,平飞,平飞,静止,平飞,静止,静止,平飞
130,平飞,平飞,静止,平飞,静止,静止,平飞
131,平飞,平飞,静止,平飞,静止,静止,平飞
132,平飞,平飞,静止,平飞,静止,静止,平飞
133,平飞,平飞,静止,平飞,静止,静止,平飞
134,平飞,平飞,静止,平飞,静止,静止,平飞
135,平飞,平飞,静止,平飞,静止,静止,平飞
136,平飞,平飞,静止,平飞,静止,静止,平飞
137,平飞,平飞,静止,平飞,静止,静止,平飞
138,平飞,平飞,静止,平飞,静止,静止,平飞
139,平飞,平飞,静止,平飞,静止,静止,平飞
140,平飞,平飞,静止,平飞,静止,静止,平飞
141,平飞,平飞,静止,平飞,静止,静止,平飞
142,平飞,平飞,静止,平飞,静止,静止,平飞
143,平飞,平飞,静止,平飞,静止,静止,平飞
144,平飞,平飞,静止,平飞,静止,静止,平飞
145,平飞,平飞,静止,平飞,静止,静止,平飞
146,平飞,平飞,静止,平飞,静止,静止,平飞
147,平飞,平飞,静止,平飞,静止,静止,平飞
148,平飞,平飞,静止,平飞,静止,静止,平飞
149,平飞,平飞,静止,平飞,静止,静止,平飞
150,平飞,平飞,静止,平飞,静止,静止,平飞
151,平飞,平飞,静止,平飞,静止,静止,平飞
152,平飞,平飞,静止,平飞,静止,静止,平飞
153,平飞,平飞,静止,平飞,静止,静止,平飞
154,平飞,平飞,静止,平飞,静止,静止,平飞
155,平飞,平飞,静止,平飞,静止,静止,平飞
156,平飞,平飞,静止,平飞,静止,静止,平飞
157,平飞,平飞,静止,平飞,静止,静止,平飞
158,平飞,平飞,静止,平飞,静止,静止,平飞
159,平飞,平飞,静止,平飞,静止,静止,平飞
160,平飞,平飞,静止,平飞,静止,静止,平飞
161,平飞,平飞,静止,平飞,静止,静止,平飞
162,平飞,平飞,静止,平飞,静止,静止,平飞
163,平飞,平飞,静止,平飞,静止,静止,平飞
164,平飞,平飞,静止,平飞,静止,静止,平飞
165,平飞,平飞,静止,平飞,静止,静止,平飞
166,平飞,平飞,静止,平飞,静止,静止,平飞
167,平飞,平飞,静止,平飞,静止,静止,平飞
168,平飞,平飞,静止,平飞,静止,静止,平飞
169,平飞,平飞,静止,平飞,静止,静止,平飞
170,平飞,平飞,静止,平飞,静止,静止,平飞
171,平飞,平飞,静止,平飞,静止,静止,平飞
172,平飞,平飞,上升飞行,平飞,静止,静止,平飞
173,平飞,平飞,上升飞行,平飞,静止,静止,平飞
174,平飞,平飞,上升飞行,平飞,静止,静止,平飞
175,平飞,平飞,平飞,平飞,静止,静止,平飞
176,平飞,平飞,平飞,平飞,静止,静止,平飞
177,平飞,平飞,平飞,平飞,静止,静止,平飞
178,平飞,平飞,平飞,平飞,静止,静止,平飞
179,平飞,平飞,平飞,平飞,静止,静止,平飞
180,平飞,平飞,平飞,平飞,静止,静止,平飞
181,平飞,平飞,平飞,平飞,静止,静止,平飞
182,平飞,平飞,平飞,平飞,静止,静止,平飞
183,平飞,平飞,平飞,平飞,静止,静止,平飞
184,平飞,平飞,平飞,平飞,静止,静止,平飞
185,平飞,平飞,平飞,平飞,静止,静止,平飞
