Order,Missile_B,Launcher_B,Target_B
1,10705,105,104
2,13E0B,10B,109
3,1460A,10A,109
4,1850B,10B,106
5,1A108,108,109
6,1A907,107,104
7,1C70A,10A,106
8,1DC0B,10B,104
9,1FF08,108,10D
10,20907,107,10D
11,25F0A,10A,109
12,27C08,108,10E
13,27C0B,10B,106
14,2800A,10A,106
15,2C60B,10B,106
16,3610B,10B,109
17,36B08,108,10D
18,3AA07,107,109
19,3AD08,108,106
20,3F008,108,109
21,40B0F,10F,109 DE DA-P
22,40C0F,10F,106
23,43E0F,10F,106
24,45D0F,10F,106
25,46C0F,10F,106
26,48907,107,10D
27,4A007,107,106 DE DA-P
28,4A107,107,10D DE DA-P
29,4AA07,107,10C
30,9608,108,104
31,B40F,10F,10E
32,FF0F,10F,106
