UnixTime,103,105,106,10B,10D,202,207,307
117,平飞,平飞,静止,静止,静止,平飞,静止,静止
118,平飞,平飞,静止,静止,静止,平飞,静止,静止
119,平飞,平飞,静止,静止,静止,平飞,静止,静止
120,平飞,平飞,静止,静止,静止,平飞,静止,静止
121,平飞,平飞,静止,静止,静止,平飞,静止,静止
122,平飞,平飞,静止,静止,静止,平飞,静止,静止
123,平飞,平飞,静止,静止,静止,平飞,静止,静止
124,平飞,平飞,静止,静止,静止,平飞,静止,静止
125,平飞,平飞,静止,静止,静止,平飞,静止,静止
126,平飞,平飞,静止,静止,静止,平飞,静止,静止
127,平飞,平飞,静止,静止,静止,平飞,静止,静止
128,平飞,平飞,静止,静止,静止,平飞,静止,静止
129,平飞,平飞,静止,静止,静止,平飞,静止,静止
130,平飞,平飞,静止,静止,静止,平飞,静止,静止
131,平飞,平飞,静止,静止,静止,平飞,静止,静止
132,平飞,平飞,平飞,静止,静止,平飞,静止,静止
133,平飞,平飞,平飞,静止,静止,平飞,静止,静止
134,平飞,平飞,平飞,静止,静止,平飞,静止,静止
135,平飞,平飞,平飞,静止,静止,平飞,静止,静止
136,平飞,平飞,平飞,静止,静止,平飞,静止,静止
137,平飞,平飞,平飞,静止,静止,平飞,静止,静止
138,平飞,平飞,平飞,静止,静止,平飞,静止,静止
139,平飞,平飞,平飞,静止,静止,平飞,上升飞行,静止
140,平飞,平飞,平飞,静止,静止,平飞,上升飞行,静止
141,平飞,平飞,平飞,静止,静止,平飞,平飞,静止
142,平飞,平飞,平飞,静止,静止,平飞,平飞,静止
143,平飞,平飞,平飞,静止,静止,平飞,平飞,静止
144,平飞,平飞,平飞,静止,静止,平飞,静止,静止
145,平飞,平飞,平飞,静止,静止,平飞,静止,下降飞行
146,平飞,平飞,平飞,静止,静止,平飞,静止,下降飞行
147,平飞,平飞,平飞,静止,静止,平飞,静止,平飞
148,平飞,平飞,平飞,静止,静止,平飞,静止,平飞
149,平飞,平飞,平飞,静止,静止,平飞,静止,平飞
150,平飞,平飞,平飞,静止,静止,平飞,静止,平飞
151,平飞,平飞,平飞,静止,静止,平飞,静止,平飞
152,平飞,平飞,平飞,静止,静止,平飞,静止,平飞
153,平飞,平飞,平飞,静止,静止,平飞,静止,平飞
154,平飞,平飞,平飞,静止,静止,平飞,静止,平飞
155,平飞,平飞,平飞,静止,静止,平飞,静止,平飞
156,平飞,平飞,平飞,静止,静止,平飞,静止,平飞
157,平飞,平飞,平飞,静止,静止,平飞,静止,平飞
158,平飞,平飞,平飞,静止,静止,平飞,静止,平飞
159,平飞,平飞,平飞,静止,静止,平飞,静止,平飞
160,平飞,平飞,平飞,静止,静止,平飞,静止,平飞
161,平飞,平飞,平飞,静止,静止,平飞,静止,平飞
162,平飞,平飞,平飞,静止,静止,平飞,静止,平飞
163,平飞,平飞,平飞,静止,静止,平飞,静止,平飞
164,平飞,平飞,平飞,静止,静止,平飞,静止,平飞
165,平飞,平飞,平飞,静止,静止,平飞,静止,平飞
166,平飞,平飞,平飞,静止,静止,平飞,静止,平飞
167,平飞,平飞,平飞,静止,静止,平飞,静止,平飞
168,平飞,平飞,平飞,静止,静止,平飞,静止,平飞
169,平飞,平飞,平飞,静止,静止,平飞,静止,平飞
170,平飞,平飞,平飞,静止,静止,平飞,静止,平飞
171,平飞,平飞,平飞,静止,静止,平飞,静止,平飞
172,平飞,平飞,平飞,静止,静止,平飞,静止,平飞
173,平飞,平飞,平飞,静止,静止,平飞,静止,平飞
174,平飞,平飞,平飞,静止,静止,平飞,静止,平飞
175,平飞,平飞,平飞,静止,静止,平飞,静止,平飞
176,平飞,平飞,平飞,静止,静止,平飞,静止,平飞
177,平飞,平飞,平飞,静止,静止,平飞,静止,平飞
178,平飞,平飞,平飞,静止,静止,平飞,静止,平飞
179,平飞,平飞,平飞,静止,静止,平飞,静止,平飞
180,平飞,平飞,平飞,静止,静止,平飞,静止,平飞
181,平飞,平飞,平飞,静止,静止,平飞,静止,平飞
182,平飞,平飞,平飞,静止,静止,平飞,静止,平飞
183,平飞,平飞,平飞,静止,静止,平飞,静止,平飞
184,平飞,平飞,平飞,静止,静止,平飞,静止,平飞
185,平飞,平飞,平飞,静止,静止,平飞,静止,平飞
186,平飞,平飞,平飞,上升飞行,静止,平飞,静止,平飞
187,平飞,平飞,平飞,上升飞行,静止,平飞,静止,平飞
188,平飞,平飞,平飞,平飞,静止,平飞,静止,平飞
189,平飞,平飞,平飞,平飞,静止,平飞,静止,平飞
190,平飞,平飞,平飞,平飞,静止,平飞,静止,平飞
191,平飞,平飞,平飞,平飞,静止,平飞,静止,平飞
192,平飞,平飞,平飞,平飞,静止,平飞,静止,平飞
193,平飞,平飞,平飞,平飞,静止,平飞,静止,平飞
194,平飞,平飞,平飞,平飞,静止,平飞,静止,平飞
195,平飞,平飞,平飞,平飞,静止,平飞,静止,平飞
196,平飞,平飞,平飞,平飞,静止,平飞,静止,平飞
197,平飞,平飞,平飞,平飞,静止,平飞,静止,平飞
198,平飞,平飞,平飞,平飞,静止,平飞,静止,平飞
199,平飞,平飞,平飞,平飞,静止,平飞,静止,平飞
200,平飞,平飞,平飞,平飞,静止,平飞,静止,平飞
201,平飞,平飞,平飞,平飞,静止,平飞,静止,平飞
202,平飞,平飞,平飞,平飞,静止,平飞,静止,平飞
203,平飞,平飞,平飞,平飞,静止,平飞,静止,平飞
204,平飞,平飞,平飞,平飞,静止,平飞,静止,平飞
205,平飞,平飞,平飞,平飞,静止,平飞,静止,平飞
206,平飞,平飞,平飞,平飞,静止,平飞,静止,平飞
207,平飞,平飞,平飞,平飞,静止,平飞,静止,平飞
208,平飞,平飞,平飞,平飞,下降飞行,平飞,静止,平飞
209,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
210,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
211,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
212,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
213,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
214,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
215,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
216,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
217,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
218,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
219,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
220,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
221,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
222,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
223,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
224,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
225,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
226,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
227,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
228,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
229,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
230,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
231,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
232,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
233,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
234,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
235,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
236,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
237,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
238,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
239,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
240,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
241,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
242,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
243,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
244,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
245,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
246,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
247,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
248,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
249,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
250,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
251,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
252,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
253,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
254,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
255,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
256,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
257,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
258,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
259,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
260,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
261,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
262,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
263,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
264,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
265,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
266,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
267,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
268,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
269,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
270,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
271,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
272,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
273,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
274,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
275,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
276,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
277,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
278,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
279,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
280,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
281,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
282,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
283,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
284,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
285,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
286,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
287,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
288,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
289,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
290,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
291,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
292,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
293,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
294,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
295,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
296,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
297,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
298,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
299,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
300,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
301,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
302,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
303,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
304,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
305,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
306,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
307,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
308,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
309,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
310,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
311,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
312,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
313,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
314,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
315,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
316,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
317,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
318,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
319,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
320,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
321,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
322,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
323,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
324,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
325,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
326,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
327,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
328,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
329,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
330,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
331,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
332,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
333,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
334,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
335,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
336,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
337,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
338,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
339,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
340,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
341,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
342,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
343,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
344,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
345,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
346,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
347,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
348,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
349,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
350,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
351,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
352,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
353,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
354,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
355,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
356,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
357,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
358,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
359,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
360,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
361,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
362,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
363,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
364,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
365,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
366,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
367,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
368,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
369,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
370,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
371,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
372,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
373,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
374,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
375,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
376,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
377,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
378,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
379,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
380,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
381,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
382,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
383,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
384,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
385,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
386,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
387,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
388,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
389,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
390,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
391,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
392,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
393,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
394,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
395,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
396,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
397,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
398,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
399,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
400,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
401,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
402,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
403,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
404,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
405,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
406,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
407,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
408,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
409,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
410,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
411,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
412,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
413,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
414,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
415,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
416,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
417,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
418,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
419,平飞,平飞,平飞,平飞,平飞,平飞,静止,平飞
